record_id,category,condition,question,answer,common_symptoms,possible_cause_or_context,general_supportive_care,when_to_seek_medical_care,source_type,medical_safety_note
137,Eye,Conjunctivitis,What are the common symptoms of Conjunctivitis?,"Common symptoms can include red eye, discharge, irritation, watery eyes. Symptoms vary between people, so they should not be used alone to confirm a diagnosis.","red eye, discharge, irritation, watery eyes",Inflammation/infection of the conjunctiva,Hand hygiene and avoiding eye rubbing help; evaluation may be needed,"Seek urgent care for severe eye pain, vision changes, light sensitivity, or eye injury",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
138,Eye,Conjunctivitis,What can cause Conjunctivitis?,A common underlying explanation is Inflammation/infection of the conjunctiva. A healthcare professional can assess the individual situation and rule out other causes.,"red eye, discharge, irritation, watery eyes",Inflammation/infection of the conjunctiva,Hand hygiene and avoiding eye rubbing help; evaluation may be needed,"Seek urgent care for severe eye pain, vision changes, light sensitivity, or eye injury",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
139,Eye,Conjunctivitis,What should I do if I think I have Conjunctivitis?,"Consider contacting a healthcare professional for assessment, especially if symptoms are new, severe, persistent, or worsening. General supportive steps may include Hand hygiene and avoiding eye rubbing help; evaluation may be needed.","red eye, discharge, irritation, watery eyes",Inflammation/infection of the conjunctiva,Hand hygiene and avoiding eye rubbing help; evaluation may be needed,"Seek urgent care for severe eye pain, vision changes, light sensitivity, or eye injury",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
140,Eye,Conjunctivitis,How can I reduce the risk of Conjunctivitis?,"Risk reduction depends on the condition. General measures may include healthy habits, appropriate vaccination where relevant, hygiene, avoiding known triggers, and following professional advice.","red eye, discharge, irritation, watery eyes",Inflammation/infection of the conjunctiva,Hand hygiene and avoiding eye rubbing help; evaluation may be needed,"Seek urgent care for severe eye pain, vision changes, light sensitivity, or eye injury",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
141,Eye,Conjunctivitis,When should I see a doctor for Conjunctivitis?,"Medical assessment is especially important when symptoms are severe, persistent, worsening, or associated with warning signs. For this condition, important warning signs include: Seek urgent care for severe eye pain, vision changes, light sensitivity, or eye injury.","red eye, discharge, irritation, watery eyes",Inflammation/infection of the conjunctiva,Hand hygiene and avoiding eye rubbing help; evaluation may be needed,"Seek urgent care for severe eye pain, vision changes, light sensitivity, or eye injury",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
142,Eye,Conjunctivitis,Is Conjunctivitis always serious?,"Not necessarily. Severity varies widely. The safest approach is to consider the person's symptoms, age, medical history, and warning signs and seek professional assessment when needed.","red eye, discharge, irritation, watery eyes",Inflammation/infection of the conjunctiva,Hand hygiene and avoiding eye rubbing help; evaluation may be needed,"Seek urgent care for severe eye pain, vision changes, light sensitivity, or eye injury",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
143,Eye,Conjunctivitis,Can Conjunctivitis be prevented?,"Some cases or complications may be preventable, while others are not fully preventable. Helpful measures can include Hand hygiene and avoiding eye rubbing help; evaluation may be needed and addressing known risk factors.","red eye, discharge, irritation, watery eyes",Inflammation/infection of the conjunctiva,Hand hygiene and avoiding eye rubbing help; evaluation may be needed,"Seek urgent care for severe eye pain, vision changes, light sensitivity, or eye injury",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
144,Eye,Conjunctivitis,What lifestyle habits may help with Conjunctivitis?,"Helpful general habits may include adequate sleep, balanced nutrition, appropriate physical activity, hydration, avoiding tobacco, and following individualized medical advice.","red eye, discharge, irritation, watery eyes",Inflammation/infection of the conjunctiva,Hand hygiene and avoiding eye rubbing help; evaluation may be needed,"Seek urgent care for severe eye pain, vision changes, light sensitivity, or eye injury",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
145,Skin,Dermatitis,What are the common symptoms of Dermatitis?,"Common symptoms can include itchy, dry, red, irritated skin. Symptoms vary between people, so they should not be used alone to confirm a diagnosis.","itchy, dry, red, irritated skin","Skin inflammation from irritants, allergens, or other causes",Avoid suspected irritants and use gentle skin care,"Seek care for rapidly spreading redness, severe pain, fever, or facial swelling",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
146,Skin,Dermatitis,What can cause Dermatitis?,"A common underlying explanation is Skin inflammation from irritants, allergens, or other causes. A healthcare professional can assess the individual situation and rule out other causes.","itchy, dry, red, irritated skin","Skin inflammation from irritants, allergens, or other causes",Avoid suspected irritants and use gentle skin care,"Seek care for rapidly spreading redness, severe pain, fever, or facial swelling",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
147,Skin,Dermatitis,What should I do if I think I have Dermatitis?,"Consider contacting a healthcare professional for assessment, especially if symptoms are new, severe, persistent, or worsening. General supportive steps may include Avoid suspected irritants and use gentle skin care.","itchy, dry, red, irritated skin","Skin inflammation from irritants, allergens, or other causes",Avoid suspected irritants and use gentle skin care,"Seek care for rapidly spreading redness, severe pain, fever, or facial swelling",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
148,Skin,Dermatitis,How can I reduce the risk of Dermatitis?,"Risk reduction depends on the condition. General measures may include healthy habits, appropriate vaccination where relevant, hygiene, avoiding known triggers, and following professional advice.","itchy, dry, red, irritated skin","Skin inflammation from irritants, allergens, or other causes",Avoid suspected irritants and use gentle skin care,"Seek care for rapidly spreading redness, severe pain, fever, or facial swelling",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
149,Skin,Dermatitis,When should I see a doctor for Dermatitis?,"Medical assessment is especially important when symptoms are severe, persistent, worsening, or associated with warning signs. For this condition, important warning signs include: Seek care for rapidly spreading redness, severe pain, fever, or facial swelling.","itchy, dry, red, irritated skin","Skin inflammation from irritants, allergens, or other causes",Avoid suspected irritants and use gentle skin care,"Seek care for rapidly spreading redness, severe pain, fever, or facial swelling",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
150,Skin,Dermatitis,Is Dermatitis always serious?,"Not necessarily. Severity varies widely. The safest approach is to consider the person's symptoms, age, medical history, and warning signs and seek professional assessment when needed.","itchy, dry, red, irritated skin","Skin inflammation from irritants, allergens, or other causes",Avoid suspected irritants and use gentle skin care,"Seek care for rapidly spreading redness, severe pain, fever, or facial swelling",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
151,Skin,Dermatitis,Can Dermatitis be prevented?,"Some cases or complications may be preventable, while others are not fully preventable. Helpful measures can include Avoid suspected irritants and use gentle skin care and addressing known risk factors.","itchy, dry, red, irritated skin","Skin inflammation from irritants, allergens, or other causes",Avoid suspected irritants and use gentle skin care,"Seek care for rapidly spreading redness, severe pain, fever, or facial swelling",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
152,Skin,Dermatitis,What lifestyle habits may help with Dermatitis?,"Helpful general habits may include adequate sleep, balanced nutrition, appropriate physical activity, hydration, avoiding tobacco, and following individualized medical advice.","itchy, dry, red, irritated skin","Skin inflammation from irritants, allergens, or other causes",Avoid suspected irritants and use gentle skin care,"Seek care for rapidly spreading redness, severe pain, fever, or facial swelling",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
153,Mental Health,Depression,What are the common symptoms of Depression?,"Common symptoms can include persistent low mood, loss of interest, sleep/appetite changes, low energy. Symptoms vary between people, so they should not be used alone to confirm a diagnosis.","persistent low mood, loss of interest, sleep/appetite changes, low energy",Mental health condition involving persistent mood symptoms,"Professional assessment, supportive routines, therapy, and treatment when appropriate","If there is immediate danger or thoughts of self-harm, seek emergency professional help immediately",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
154,Mental Health,Depression,What can cause Depression?,A common underlying explanation is Mental health condition involving persistent mood symptoms. A healthcare professional can assess the individual situation and rule out other causes.,"persistent low mood, loss of interest, sleep/appetite changes, low energy",Mental health condition involving persistent mood symptoms,"Professional assessment, supportive routines, therapy, and treatment when appropriate","If there is immediate danger or thoughts of self-harm, seek emergency professional help immediately",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
155,Mental Health,Depression,What should I do if I think I have Depression?,"Consider contacting a healthcare professional for assessment, especially if symptoms are new, severe, persistent, or worsening. General supportive steps may include Professional assessment, supportive routines, therapy, and treatment when appropriate.","persistent low mood, loss of interest, sleep/appetite changes, low energy",Mental health condition involving persistent mood symptoms,"Professional assessment, supportive routines, therapy, and treatment when appropriate","If there is immediate danger or thoughts of self-harm, seek emergency professional help immediately",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
156,Mental Health,Depression,How can I reduce the risk of Depression?,"Risk reduction depends on the condition. General measures may include healthy habits, appropriate vaccination where relevant, hygiene, avoiding known triggers, and following professional advice.","persistent low mood, loss of interest, sleep/appetite changes, low energy",Mental health condition involving persistent mood symptoms,"Professional assessment, supportive routines, therapy, and treatment when appropriate","If there is immediate danger or thoughts of self-harm, seek emergency professional help immediately",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
157,Mental Health,Depression,When should I see a doctor for Depression?,"Medical assessment is especially important when symptoms are severe, persistent, worsening, or associated with warning signs. For this condition, important warning signs include: If there is immediate danger or thoughts of self-harm, seek emergency professional help immediately.","persistent low mood, loss of interest, sleep/appetite changes, low energy",Mental health condition involving persistent mood symptoms,"Professional assessment, supportive routines, therapy, and treatment when appropriate","If there is immediate danger or thoughts of self-harm, seek emergency professional help immediately",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
158,Mental Health,Depression,Is Depression always serious?,"Not necessarily. Severity varies widely. The safest approach is to consider the person's symptoms, age, medical history, and warning signs and seek professional assessment when needed.","persistent low mood, loss of interest, sleep/appetite changes, low energy",Mental health condition involving persistent mood symptoms,"Professional assessment, supportive routines, therapy, and treatment when appropriate","If there is immediate danger or thoughts of self-harm, seek emergency professional help immediately",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
159,Mental Health,Depression,Can Depression be prevented?,"Some cases or complications may be preventable, while others are not fully preventable. Helpful measures can include Professional assessment, supportive routines, therapy, and treatment when appropriate and addressing known risk factors.","persistent low mood, loss of interest, sleep/appetite changes, low energy",Mental health condition involving persistent mood symptoms,"Professional assessment, supportive routines, therapy, and treatment when appropriate","If there is immediate danger or thoughts of self-harm, seek emergency professional help immediately",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
160,Mental Health,Depression,What lifestyle habits may help with Depression?,"Helpful general habits may include adequate sleep, balanced nutrition, appropriate physical activity, hydration, avoiding tobacco, and following individualized medical advice.","persistent low mood, loss of interest, sleep/appetite changes, low energy",Mental health condition involving persistent mood symptoms,"Professional assessment, supportive routines, therapy, and treatment when appropriate","If there is immediate danger or thoughts of self-harm, seek emergency professional help immediately",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
161,Respiratory,Common Cold,I have cough. Could it be related to Common Cold?,"Cough can occur with Common Cold, but it is not specific to it. Other symptoms may include runny nose, sneezing, sore throat. A symptom alone cannot confirm a diagnosis.","cough, runny nose, sneezing, sore throat",Viral upper-respiratory infection,"Rest, fluids, and symptom relief may help","Seek care for breathing difficulty, severe symptoms, or symptoms that persist/worsen",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
162,Respiratory,Common Cold,I have runny nose. Could it be related to Common Cold?,"Runny nose can occur with Common Cold, but it is not specific to it. Other symptoms may include cough, sneezing, sore throat. A symptom alone cannot confirm a diagnosis.","cough, runny nose, sneezing, sore throat",Viral upper-respiratory infection,"Rest, fluids, and symptom relief may help","Seek care for breathing difficulty, severe symptoms, or symptoms that persist/worsen",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
163,Respiratory,Common Cold,I have sneezing. Could it be related to Common Cold?,"Sneezing can occur with Common Cold, but it is not specific to it. Other symptoms may include cough, runny nose, sore throat. A symptom alone cannot confirm a diagnosis.","cough, runny nose, sneezing, sore throat",Viral upper-respiratory infection,"Rest, fluids, and symptom relief may help","Seek care for breathing difficulty, severe symptoms, or symptoms that persist/worsen",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
164,Respiratory,Common Cold,I have sore throat. Could it be related to Common Cold?,"Sore throat can occur with Common Cold, but it is not specific to it. Other symptoms may include cough, runny nose, sneezing. A symptom alone cannot confirm a diagnosis.","cough, runny nose, sneezing, sore throat",Viral upper-respiratory infection,"Rest, fluids, and symptom relief may help","Seek care for breathing difficulty, severe symptoms, or symptoms that persist/worsen",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
165,Respiratory,Influenza,I have fever. Could it be related to Influenza?,"Fever can occur with Influenza, but it is not specific to it. Other symptoms may include chills, cough, body aches, fatigue. A symptom alone cannot confirm a diagnosis.","fever, chills, cough, body aches, fatigue",Influenza virus infection,"Rest, fluids, and medical advice when appropriate","Seek urgent care for breathing difficulty, chest pain, confusion, or severe dehydration",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
166,Respiratory,Influenza,I have chills. Could it be related to Influenza?,"Chills can occur with Influenza, but it is not specific to it. Other symptoms may include fever, cough, body aches, fatigue. A symptom alone cannot confirm a diagnosis.","fever, chills, cough, body aches, fatigue",Influenza virus infection,"Rest, fluids, and medical advice when appropriate","Seek urgent care for breathing difficulty, chest pain, confusion, or severe dehydration",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
167,Respiratory,Influenza,I have cough. Could it be related to Influenza?,"Cough can occur with Influenza, but it is not specific to it. Other symptoms may include fever, chills, body aches, fatigue. A symptom alone cannot confirm a diagnosis.","fever, chills, cough, body aches, fatigue",Influenza virus infection,"Rest, fluids, and medical advice when appropriate","Seek urgent care for breathing difficulty, chest pain, confusion, or severe dehydration",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
168,Respiratory,Influenza,I have body aches. Could it be related to Influenza?,"Body aches can occur with Influenza, but it is not specific to it. Other symptoms may include fever, chills, cough, fatigue. A symptom alone cannot confirm a diagnosis.","fever, chills, cough, body aches, fatigue",Influenza virus infection,"Rest, fluids, and medical advice when appropriate","Seek urgent care for breathing difficulty, chest pain, confusion, or severe dehydration",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
169,Respiratory,Influenza,I have fatigue. Could it be related to Influenza?,"Fatigue can occur with Influenza, but it is not specific to it. Other symptoms may include fever, chills, cough, body aches. A symptom alone cannot confirm a diagnosis.","fever, chills, cough, body aches, fatigue",Influenza virus infection,"Rest, fluids, and medical advice when appropriate","Seek urgent care for breathing difficulty, chest pain, confusion, or severe dehydration",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
170,Infectious,Dengue,I have fever. Could it be related to Dengue?,"Fever can occur with Dengue, but it is not specific to it. Other symptoms may include headache, body aches, nausea, rash. A symptom alone cannot confirm a diagnosis.","fever, headache, body aches, nausea, rash",Dengue virus spread by mosquitoes,Hydration and prompt medical evaluation are important,"Seek urgent care for bleeding, severe abdominal pain, persistent vomiting, breathing difficulty, or extreme weakness",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
171,Infectious,Dengue,I have headache. Could it be related to Dengue?,"Headache can occur with Dengue, but it is not specific to it. Other symptoms may include fever, body aches, nausea, rash. A symptom alone cannot confirm a diagnosis.","fever, headache, body aches, nausea, rash",Dengue virus spread by mosquitoes,Hydration and prompt medical evaluation are important,"Seek urgent care for bleeding, severe abdominal pain, persistent vomiting, breathing difficulty, or extreme weakness",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
172,Infectious,Dengue,I have body aches. Could it be related to Dengue?,"Body aches can occur with Dengue, but it is not specific to it. Other symptoms may include fever, headache, nausea, rash. A symptom alone cannot confirm a diagnosis.","fever, headache, body aches, nausea, rash",Dengue virus spread by mosquitoes,Hydration and prompt medical evaluation are important,"Seek urgent care for bleeding, severe abdominal pain, persistent vomiting, breathing difficulty, or extreme weakness",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
173,Infectious,Dengue,I have nausea. Could it be related to Dengue?,"Nausea can occur with Dengue, but it is not specific to it. Other symptoms may include fever, headache, body aches, rash. A symptom alone cannot confirm a diagnosis.","fever, headache, body aches, nausea, rash",Dengue virus spread by mosquitoes,Hydration and prompt medical evaluation are important,"Seek urgent care for bleeding, severe abdominal pain, persistent vomiting, breathing difficulty, or extreme weakness",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
174,Infectious,Dengue,I have rash. Could it be related to Dengue?,"Rash can occur with Dengue, but it is not specific to it. Other symptoms may include fever, headache, body aches, nausea. A symptom alone cannot confirm a diagnosis.","fever, headache, body aches, nausea, rash",Dengue virus spread by mosquitoes,Hydration and prompt medical evaluation are important,"Seek urgent care for bleeding, severe abdominal pain, persistent vomiting, breathing difficulty, or extreme weakness",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
175,Infectious,Malaria,I have fever. Could it be related to Malaria?,"Fever can occur with Malaria, but it is not specific to it. Other symptoms may include chills, sweating, headache, weakness. A symptom alone cannot confirm a diagnosis.","fever, chills, sweating, headache, weakness",Plasmodium parasites transmitted by infected mosquitoes,Prompt testing and clinician-directed treatment are important,"Seek urgent care for confusion, seizures, breathing difficulty, collapse, or severe weakness",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
176,Infectious,Malaria,I have chills. Could it be related to Malaria?,"Chills can occur with Malaria, but it is not specific to it. Other symptoms may include fever, sweating, headache, weakness. A symptom alone cannot confirm a diagnosis.","fever, chills, sweating, headache, weakness",Plasmodium parasites transmitted by infected mosquitoes,Prompt testing and clinician-directed treatment are important,"Seek urgent care for confusion, seizures, breathing difficulty, collapse, or severe weakness",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
177,Infectious,Malaria,I have sweating. Could it be related to Malaria?,"Sweating can occur with Malaria, but it is not specific to it. Other symptoms may include fever, chills, headache, weakness. A symptom alone cannot confirm a diagnosis.","fever, chills, sweating, headache, weakness",Plasmodium parasites transmitted by infected mosquitoes,Prompt testing and clinician-directed treatment are important,"Seek urgent care for confusion, seizures, breathing difficulty, collapse, or severe weakness",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
178,Infectious,Malaria,I have headache. Could it be related to Malaria?,"Headache can occur with Malaria, but it is not specific to it. Other symptoms may include fever, chills, sweating, weakness. A symptom alone cannot confirm a diagnosis.","fever, chills, sweating, headache, weakness",Plasmodium parasites transmitted by infected mosquitoes,Prompt testing and clinician-directed treatment are important,"Seek urgent care for confusion, seizures, breathing difficulty, collapse, or severe weakness",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
179,Infectious,Malaria,I have weakness. Could it be related to Malaria?,"Weakness can occur with Malaria, but it is not specific to it. Other symptoms may include fever, chills, sweating, headache. A symptom alone cannot confirm a diagnosis.","fever, chills, sweating, headache, weakness",Plasmodium parasites transmitted by infected mosquitoes,Prompt testing and clinician-directed treatment are important,"Seek urgent care for confusion, seizures, breathing difficulty, collapse, or severe weakness",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
180,Infectious,Typhoid Fever,I have fever. Could it be related to Typhoid Fever?,"Fever can occur with Typhoid Fever, but it is not specific to it. Other symptoms may include headache, weakness, abdominal discomfort, diarrhea or constipation. A symptom alone cannot confirm a diagnosis.","fever, headache, weakness, abdominal discomfort, diarrhea or constipation",Salmonella Typhi infection,Medical testing and clinician-directed antibiotics when indicated,"Seek care for persistent high fever, severe abdominal pain, confusion, or dehydration",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
181,Infectious,Typhoid Fever,I have headache. Could it be related to Typhoid Fever?,"Headache can occur with Typhoid Fever, but it is not specific to it. Other symptoms may include fever, weakness, abdominal discomfort, diarrhea or constipation. A symptom alone cannot confirm a diagnosis.","fever, headache, weakness, abdominal discomfort, diarrhea or constipation",Salmonella Typhi infection,Medical testing and clinician-directed antibiotics when indicated,"Seek care for persistent high fever, severe abdominal pain, confusion, or dehydration",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
182,Infectious,Typhoid Fever,I have weakness. Could it be related to Typhoid Fever?,"Weakness can occur with Typhoid Fever, but it is not specific to it. Other symptoms may include fever, headache, abdominal discomfort, diarrhea or constipation. A symptom alone cannot confirm a diagnosis.","fever, headache, weakness, abdominal discomfort, diarrhea or constipation",Salmonella Typhi infection,Medical testing and clinician-directed antibiotics when indicated,"Seek care for persistent high fever, severe abdominal pain, confusion, or dehydration",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
183,Infectious,Typhoid Fever,I have abdominal discomfort. Could it be related to Typhoid Fever?,"Abdominal discomfort can occur with Typhoid Fever, but it is not specific to it. Other symptoms may include fever, headache, weakness, diarrhea or constipation. A symptom alone cannot confirm a diagnosis.","fever, headache, weakness, abdominal discomfort, diarrhea or constipation",Salmonella Typhi infection,Medical testing and clinician-directed antibiotics when indicated,"Seek care for persistent high fever, severe abdominal pain, confusion, or dehydration",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
184,Infectious,Typhoid Fever,I have diarrhea or constipation. Could it be related to Typhoid Fever?,"Diarrhea or constipation can occur with Typhoid Fever, but it is not specific to it. Other symptoms may include fever, headache, weakness, abdominal discomfort. A symptom alone cannot confirm a diagnosis.","fever, headache, weakness, abdominal discomfort, diarrhea or constipation",Salmonella Typhi infection,Medical testing and clinician-directed antibiotics when indicated,"Seek care for persistent high fever, severe abdominal pain, confusion, or dehydration",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
185,Respiratory,COVID-19,I have fever. Could it be related to COVID-19?,"Fever can occur with COVID-19, but it is not specific to it. Other symptoms may include cough, sore throat, fatigue, loss of taste or smell. A symptom alone cannot confirm a diagnosis.","fever, cough, sore throat, fatigue, loss of taste or smell",SARS-CoV-2 infection,"Rest, fluids, monitoring, and medical advice based on risk","Seek urgent care for trouble breathing, persistent chest pain, new confusion, or inability to stay awake",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
186,Respiratory,COVID-19,I have cough. Could it be related to COVID-19?,"Cough can occur with COVID-19, but it is not specific to it. Other symptoms may include fever, sore throat, fatigue, loss of taste or smell. A symptom alone cannot confirm a diagnosis.","fever, cough, sore throat, fatigue, loss of taste or smell",SARS-CoV-2 infection,"Rest, fluids, monitoring, and medical advice based on risk","Seek urgent care for trouble breathing, persistent chest pain, new confusion, or inability to stay awake",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
187,Respiratory,COVID-19,I have sore throat. Could it be related to COVID-19?,"Sore throat can occur with COVID-19, but it is not specific to it. Other symptoms may include fever, cough, fatigue, loss of taste or smell. A symptom alone cannot confirm a diagnosis.","fever, cough, sore throat, fatigue, loss of taste or smell",SARS-CoV-2 infection,"Rest, fluids, monitoring, and medical advice based on risk","Seek urgent care for trouble breathing, persistent chest pain, new confusion, or inability to stay awake",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
188,Respiratory,COVID-19,I have fatigue. Could it be related to COVID-19?,"Fatigue can occur with COVID-19, but it is not specific to it. Other symptoms may include fever, cough, sore throat, loss of taste or smell. A symptom alone cannot confirm a diagnosis.","fever, cough, sore throat, fatigue, loss of taste or smell",SARS-CoV-2 infection,"Rest, fluids, monitoring, and medical advice based on risk","Seek urgent care for trouble breathing, persistent chest pain, new confusion, or inability to stay awake",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
189,Respiratory,COVID-19,I have loss of taste or smell. Could it be related to COVID-19?,"Loss of taste or smell can occur with COVID-19, but it is not specific to it. Other symptoms may include fever, cough, sore throat, fatigue. A symptom alone cannot confirm a diagnosis.","fever, cough, sore throat, fatigue, loss of taste or smell",SARS-CoV-2 infection,"Rest, fluids, monitoring, and medical advice based on risk","Seek urgent care for trouble breathing, persistent chest pain, new confusion, or inability to stay awake",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
190,Respiratory,Asthma,I have wheezing. Could it be related to Asthma?,"Wheezing can occur with Asthma, but it is not specific to it. Other symptoms may include cough, chest tightness, shortness of breath. A symptom alone cannot confirm a diagnosis.","wheezing, cough, chest tightness, shortness of breath",Airway inflammation and narrowing,Follow the person's prescribed asthma action plan and avoid known triggers,Emergency care is needed for severe breathing difficulty or poor response to prescribed rescue treatment,Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
191,Respiratory,Asthma,I have cough. Could it be related to Asthma?,"Cough can occur with Asthma, but it is not specific to it. Other symptoms may include wheezing, chest tightness, shortness of breath. A symptom alone cannot confirm a diagnosis.","wheezing, cough, chest tightness, shortness of breath",Airway inflammation and narrowing,Follow the person's prescribed asthma action plan and avoid known triggers,Emergency care is needed for severe breathing difficulty or poor response to prescribed rescue treatment,Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
192,Respiratory,Asthma,I have chest tightness. Could it be related to Asthma?,"Chest tightness can occur with Asthma, but it is not specific to it. Other symptoms may include wheezing, cough, shortness of breath. A symptom alone cannot confirm a diagnosis.","wheezing, cough, chest tightness, shortness of breath",Airway inflammation and narrowing,Follow the person's prescribed asthma action plan and avoid known triggers,Emergency care is needed for severe breathing difficulty or poor response to prescribed rescue treatment,Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
193,Respiratory,Asthma,I have shortness of breath. Could it be related to Asthma?,"Shortness of breath can occur with Asthma, but it is not specific to it. Other symptoms may include wheezing, cough, chest tightness. A symptom alone cannot confirm a diagnosis.","wheezing, cough, chest tightness, shortness of breath",Airway inflammation and narrowing,Follow the person's prescribed asthma action plan and avoid known triggers,Emergency care is needed for severe breathing difficulty or poor response to prescribed rescue treatment,Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
194,Respiratory,Pneumonia,I have cough. Could it be related to Pneumonia?,"Cough can occur with Pneumonia, but it is not specific to it. Other symptoms may include fever, chills, shortness of breath, chest discomfort. A symptom alone cannot confirm a diagnosis.","cough, fever, chills, shortness of breath, chest discomfort",Infection or inflammation of the lungs,Medical assessment is important; treatment depends on the cause,"Seek urgent care for severe breathing difficulty, blue/gray lips, confusion, or severe chest pain",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
195,Respiratory,Pneumonia,I have fever. Could it be related to Pneumonia?,"Fever can occur with Pneumonia, but it is not specific to it. Other symptoms may include cough, chills, shortness of breath, chest discomfort. A symptom alone cannot confirm a diagnosis.","cough, fever, chills, shortness of breath, chest discomfort",Infection or inflammation of the lungs,Medical assessment is important; treatment depends on the cause,"Seek urgent care for severe breathing difficulty, blue/gray lips, confusion, or severe chest pain",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
196,Respiratory,Pneumonia,I have chills. Could it be related to Pneumonia?,"Chills can occur with Pneumonia, but it is not specific to it. Other symptoms may include cough, fever, shortness of breath, chest discomfort. A symptom alone cannot confirm a diagnosis.","cough, fever, chills, shortness of breath, chest discomfort",Infection or inflammation of the lungs,Medical assessment is important; treatment depends on the cause,"Seek urgent care for severe breathing difficulty, blue/gray lips, confusion, or severe chest pain",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
197,Respiratory,Pneumonia,I have shortness of breath. Could it be related to Pneumonia?,"Shortness of breath can occur with Pneumonia, but it is not specific to it. Other symptoms may include cough, fever, chills, chest discomfort. A symptom alone cannot confirm a diagnosis.","cough, fever, chills, shortness of breath, chest discomfort",Infection or inflammation of the lungs,Medical assessment is important; treatment depends on the cause,"Seek urgent care for severe breathing difficulty, blue/gray lips, confusion, or severe chest pain",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
